date,time,temp,humid,condition
2018/1/8,1:30 PM,41,61,Fair
2018/1/8,2:00 PM,41,65,Fair
2018/1/8,2:30 PM,41,70,Partly Cloudy
2018/1/8,3:00 PM,41,76,Partly Cloudy
2018/1/8,3:30 PM,41,70,Partly Cloudy
2018/1/8,4:00 PM,39,75,Mostly Cloudy
2018/1/8,4:30 PM,39,75,Mostly Cloudy
2018/1/8,5:00 PM,39,75,Mostly Cloudy
2018/1/8,5:30 PM,39,75,Mostly Cloudy
2018/1/8,6:00 PM,39,81,Mostly Cloudy
2018/1/8,6:30 PM,39,81,Mostly Cloudy
2018/1/8,7:00 PM,39,81,Mostly Cloudy
2018/1/8,7:30 PM,39,81,Mostly Cloudy
2018/1/8,8:00 PM,39,87,Mostly Cloudy
2018/1/8,8:30 PM,39,81,Mostly Cloudy
2018/1/8,9:00 PM,39,87,Mostly Cloudy
2018/1/8,9:30 PM,39,87,Mostly Cloudy
2018/1/8,10:00 PM,39,87,Mostly Cloudy
2018/1/8,10:30 PM,39,87,Mostly Cloudy
2018/1/8,11:00 PM,39,87,Mostly Cloudy / Windy
2018/1/8,11:30 PM,39,87,Mostly Cloudy / Windy
2018/1/9,12:00 AM,43,93,Mostly Cloudy
2018/1/9,12:30 AM,43,93,Mostly Cloudy
2018/1/9,1:00 AM,39,93,Mostly Cloudy
2018/1/9,1:30 AM,39,93,Mostly Cloudy
2018/1/9,2:00 AM,39,87,Mostly Cloudy
2018/1/9,2:30 AM,39,93,Mostly Cloudy
2018/1/9,3:00 AM,39,87,Mostly Cloudy
2018/1/9,3:30 AM,39,87,Mostly Cloudy / Windy
2018/1/9,4:00 AM,39,93,Mostly Cloudy
2018/1/9,4:30 AM,39,93,Mostly Cloudy
2018/1/9,5:00 AM,39,93,Light Drizzle
2018/1/9,5:30 AM,39,100,Light Drizzle
2018/1/9,6:00 AM,39,100,Light Drizzle
2018/1/9,6:30 AM,41,93,Light Drizzle
2018/1/9,7:00 AM,41,93,Light Drizzle / Windy
2018/1/9,7:30 AM,41,93,Light Drizzle
2018/1/9,8:00 AM,41,93,Light Drizzle
2018/1/9,8:30 AM,41,93,Light Drizzle / Windy
2018/1/9,9:00 AM,41,93,Light Drizzle / Windy
2018/1/9,9:30 AM,41,93,Light Drizzle / Windy
2018/1/9,10:00 AM,41,93,Light Drizzle / Windy
2018/1/9,10:30 AM,41,93,Light Drizzle
2018/1/9,11:00 AM,41,93,Light Drizzle / Windy
2018/1/9,11:30 AM,41,93,Light Drizzle / Windy
2018/1/9,12:00 PM,41,100,Light Drizzle / Windy
2018/1/9,12:30 PM,41,100,Light Drizzle / Windy
2018/1/9,1:00 PM,43,93,Light Drizzle / Windy
2018/1/9,1:30 PM,43,93,Light Drizzle / Windy
2018/1/9,2:00 PM,43,93,Light Drizzle
2018/1/9,2:30 PM,43,93,Light Drizzle
2018/1/9,3:00 PM,43,100,Light Drizzle
2018/1/9,3:30 PM,43,100,Light Drizzle / Windy
2018/1/9,4:00 PM,45,93,Light Drizzle / Windy
2018/1/9,4:30 PM,45,93,Light Drizzle / Windy
2018/1/9,5:00 PM,45,93,Light Drizzle / Windy
2018/1/9,5:30 PM,45,93,Light Drizzle / Windy
2018/1/9,6:00 PM,45,93,Light Rain / Windy
2018/1/9,6:30 PM,45,100,Light Rain / Windy
2018/1/9,7:00 PM,46,93,Light Rain / Windy
2018/1/9,7:30 PM,46,93,Light Rain / Windy
2018/1/9,8:00 PM,46,93,Light Rain
2018/1/9,8:30 PM,46,93,Light Drizzle
2018/1/9,9:00 PM,46,87,Mostly Cloudy
2018/1/9,9:30 PM,45,93,Mostly Cloudy
2018/1/9,10:00 PM,45,93,Mostly Cloudy
2018/1/9,10:30 PM,45,87,Mostly Cloudy
2018/1/9,11:00 PM,43,93,Mostly Cloudy
2018/1/9,11:30 PM,43,93,Mostly Cloudy
2018/1/10,12:00 AM,41,100,Fog
2018/1/10,12:30 AM,39,100,Mist
2018/1/10,1:00 AM,43,87,Mostly Cloudy
2018/1/10,1:30 AM,41,93,Mostly Cloudy
2018/1/10,2:00 AM,41,93,Partly Cloudy
2018/1/10,2:30 AM,41,93,Partly Cloudy
2018/1/10,3:00 AM,41,87,Partly Cloudy
2018/1/10,3:30 AM,39,93,Partly Cloudy
2018/1/10,4:00 AM,39,93,Partly Cloudy
2018/1/10,4:30 AM,41,93,Partly Cloudy
2018/1/10,5:00 AM,41,93,Mostly Cloudy
2018/1/10,5:30 AM,41,93,Light Rain
